season,number_in_season,number_in_series,original_air_date,day_aired,imdb_rating,us_viewers_in_millions,title,is_last_episode
1,10,10,1990-03-25,Sunday,7.4,30.3,Homer's Night Out,0
1,12,12,1990-04-29,Sunday,8.3,30.4,Krusty Gets Busted,0
2,1,14,1990-10-11,Thursday,8.2,33.6,"Bart Gets an ""F""",0
2,4,17,1990-11-01,Thursday,8.1,26.1,Two Cars in Every Garage and Three Eyes on Every Fish,0
2,6,19,1990-11-15,Thursday,8.0,25.4,Dead Putting Society,0
2,8,21,1990-12-06,Thursday,8.4,26.2,Bart the Daredevil,0
2,10,23,1991-01-10,Thursday,7.8,24.8,Bart Gets Hit by a Car,0
2,13,26,1991-02-07,Thursday,8.0,26.2,Homer vs. Lisa and the 8th Commandment,0
2,15,28,1991-02-21,Thursday,8.2,26.8,"Oh Brother, Where Art Thou?",0
2,17,30,1991-03-28,Thursday,7.6,21.2,Old Money,0
2,19,32,1991-04-25,Thursday,8.5,17.7,Lisa's Substitute,0
2,22,35,1991-07-11,Thursday,8.0,17.3,Blood Feud,1
3,2,37,1991-09-26,Thursday,7.7,20.2,Mr. Lisa Goes to Washington,0
3,4,39,1991-10-10,Thursday,8.7,20.8,Bart the Murderer,0
3,6,41,1991-10-24,Thursday,7.7,20.2,"Like Father, Like Clown",0
3,9,44,1991-11-14,Thursday,7.9,24.7,Saturdays of Thunder,0
3,11,46,1991-12-05,Thursday,8.2,21.1,Burns Verkaufen der Kraftwerk,0
3,13,48,1992-01-09,Thursday,8.5,24.2,Radio Bart,0
3,16,51,1992-02-13,Thursday,8.3,20.5,Bart the Lover,0
3,18,53,1992-02-27,Thursday,8.2,23.7,Separate Vocations,0
3,20,55,1992-03-26,Thursday,7.9,25.5,Colonel Homer,0
3,23,58,1992-05-07,Thursday,7.8,19.5,Bart's Friend Falls in Love,0
4,1,60,1992-09-24,Thursday,8.4,21.8,Kamp Krusty,0
4,6,65,1992-11-03,Tuesday,8.2,20.1,Itchy & Scratchy: The Movie,0
4,10,69,1992-12-03,Thursday,8.5,28.6,Lisa's First Word,0
4,13,72,1993-01-21,Thursday,8.0,24.5,Selma's Choice,0
1,7,7,1990-02-18,Sunday,7.9,27.6,The Call of the Simpsons,0
2,11,24,1991-01-24,Thursday,8.8,24.2,"One Fish, Two Fish, Blowfish, Blue Fish",0
4,21,80,1993-05-06,Thursday,7.7,17.3,Marge in Chains,0
5,1,82,1993-09-30,Thursday,8.4,19.9,Homer's Barbershop Quartet,0
5,3,84,1993-10-14,Thursday,8.6,18.1,Homer Goes to College,0
5,6,87,1993-11-04,Thursday,8.0,21.7,Marge on the Lam,0
5,8,89,1993-11-18,Thursday,8.7,20.1,Boy-Scoutz 'n the Hood,0
5,11,92,1994-01-06,Thursday,8.2,20.1,Homer the Vigilante,0
5,12,93,1994-02-03,Thursday,8.1,20.0,Bart Gets Famous,0
5,14,95,1994-02-17,Thursday,8.2,20.5,Lisa vs. Malibu Stacy,0
